City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Dunedin,NZ,-45.8742,170.5036,45.81,53,76,8.01,broken clouds
120,Along,IN,28.1667,94.7667,76.86,98,100,1.88,overcast clouds
121,Oparino,RU,59.8518,48.2783,52.93,98,100,6.67,heavy intensity rain
122,Grindavik,IS,63.8424,-22.4338,49.95,100,100,24.16,overcast clouds
123,Kaitangata,NZ,-46.2817,169.8464,46.27,61,97,8.46,overcast clouds
124,Kingsport,US,36.5484,-82.5618,77.14,90,75,1.01,broken clouds
125,Dinkelsbuhl,DE,49.0694,10.3199,62.96,71,0,5.23,clear sky
126,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,10.36,broken clouds
127,San Cristobal,VE,7.7669,-72.225,68.18,97,97,3.27,overcast clouds
128,Pirgos,GR,35.1167,25.7178,79.63,52,0,7.47,clear sky
129,Ambilobe,MG,-13.2,49.05,63.3,77,84,5.75,broken clouds
130,Butaritari,KI,3.0707,172.7902,81.88,75,9,14.09,clear sky
131,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,100,28.77,light rain
132,Mamakan,RU,57.8161,114.0028,54.43,98,100,2.95,light rain
133,Grand Gaube,MU,-20.0064,57.6608,70.2,67,56,5.99,broken clouds
134,Pisco,PE,-13.7,-76.2167,59.05,88,100,11.5,overcast clouds
135,Clermont,FR,49.5,2.4167,67.71,63,5,10.29,clear sky
136,Grand Forks,US,47.9417,-97.4337,76.73,57,0,9.22,clear sky
137,Trenggalek,ID,-8.05,111.7167,79.75,81,100,5.93,overcast clouds
138,Codrington,AU,-38.2667,141.9667,53.69,60,100,15.99,overcast clouds
139,Shimoda,JP,34.6667,138.95,86.36,77,100,13.35,overcast clouds
140,Namibe,AO,-15.1961,12.1522,62.98,88,37,3.33,scattered clouds
141,Kantunilkin,MX,21.0917,-87.45,78.37,83,23,4.68,few clouds
142,Kaohsiung,TW,22.6163,120.3133,87.89,69,40,8.05,scattered clouds
143,Udachnyy,RU,66.4167,112.4,66.45,55,98,8.05,overcast clouds
144,Agadir,MA,30.4202,-9.5982,66.65,84,0,3.18,clear sky
145,Beian,NO,63.6559,9.5683,59.0,100,100,6.91,light intensity drizzle rain
146,Encruzilhada Do Sul,BR,-30.5439,-52.5219,46.18,96,100,11.21,moderate rain
147,Ulaangom,MN,49.9811,92.0667,69.98,53,7,1.66,clear sky
148,Guerrero Negro,MX,27.9769,-114.0611,76.64,68,20,14.72,few clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,48.87,82,0,6.91,clear sky
150,Walvis Bay,NA,-22.9575,14.5053,49.15,100,0,4.61,clear sky
151,Nome,US,64.5011,-165.4064,54.16,71,0,14.97,clear sky
152,Saldanha,ZA,-33.0117,17.9442,54.25,92,49,9.17,scattered clouds
153,Barrow,US,71.2906,-156.7887,41.02,87,100,18.41,light rain
154,Te Anau,NZ,-45.4167,167.7167,43.05,71,61,2.06,broken clouds
155,Caluquembe,AO,-13.7833,14.6833,54.88,22,0,3.6,clear sky
156,Zhigansk,RU,66.7697,123.3711,64.72,53,5,11.27,clear sky
