City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
91,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
94,Tezu,IN,79.61,overcast clouds,27.9167,96.1667,Circuit House
102,Japura,ID,82.87,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
104,Hopkinton,US,81.95,overcast clouds,41.4612,-71.7776,Stardust Motel
105,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Champerico,GT,77.18,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
109,Kavieng,PG,81.81,moderate rain,-2.5744,150.7967,Nusa Island Retreat
115,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
120,Along,IN,76.86,overcast clouds,28.1667,94.7667,Hotel West
124,Kingsport,US,77.14,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
128,Pirgos,GR,79.63,clear sky,35.1167,25.7178,Elpida Village
130,Butaritari,KI,81.88,clear sky,3.0707,172.7902,Isles Sunset Lodge
136,Grand Forks,US,76.73,clear sky,47.9417,-97.4337,Warrior Inn
137,Trenggalek,ID,79.75,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
139,Shimoda,JP,86.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
141,Kantunilkin,MX,78.37,few clouds,21.0917,-87.45,Posada Paraiso
142,Kaohsiung,TW,87.89,scattered clouds,22.6163,120.3133,御宿商旅-中山館
148,Guerrero Negro,MX,76.64,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
159,Hithadhoo,MV,81.72,scattered clouds,-0.6,73.0833,Scoop Guest House
165,Wenling,CN,87.33,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
167,North Platte,US,89.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
168,Sinnamary,GF,78.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
170,Lao Cai,VN,84.97,clear sky,22.4833,103.95,Legend Hotel
175,Dicabisagan,PH,85.68,light rain,17.0818,122.4157,Nancy Montanes Bernardo
176,San Patricio,US,88.16,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
180,Sarangani,PH,82.36,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
181,Tambacounda,SN,79.25,overcast clouds,13.7539,-13.7586,
182,Alyangula,AU,79.43,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
183,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
184,La Grande,US,76.98,overcast clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
186,Balabac,PH,84.99,broken clouds,7.9868,117.0645,Batalla’s Lodging House
187,Vanimo,PG,76.41,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
188,Naze,JP,85.12,few clouds,28.3667,129.4833,Shishime Hotel
192,Umm Lajj,SA,87.78,overcast clouds,25.0213,37.2685,Moon light Furnished Units
198,Sandakan,MY,85.68,few clouds,5.8402,118.1179,Hotel Sandakan
